date,nav
01-06-2026,74.83000
29-05-2026,75.37000
27-05-2026,75.83000
26-05-2026,75.79000
25-05-2026,75.38000
22-05-2026,74.74000
21-05-2026,74.84000
20-05-2026,74.31000
19-05-2026,74.05000
18-05-2026,74.05000
15-05-2026,74.60000
14-05-2026,74.75000
13-05-2026,74.26000
12-05-2026,73.67000
11-05-2026,74.90000
08-05-2026,75.88000
07-05-2026,76.16000
06-05-2026,75.44000
05-05-2026,75.16000
04-05-2026,75.33000
30-04-2026,74.39000
29-04-2026,74.55000
28-04-2026,74.10000
27-04-2026,73.83000
24-04-2026,72.73000
23-04-2026,73.39000
22-04-2026,73.34000
21-04-2026,73.05000
20-04-2026,72.80000
17-04-2026,72.92000
16-04-2026,72.29000
15-04-2026,71.75000
13-04-2026,70.20000
10-04-2026,70.51000
09-04-2026,69.62000
08-04-2026,69.56000
07-04-2026,67.36000
06-04-2026,67.17000
02-04-2026,66.51000
01-04-2026,66.62000
31-03-2026,65.25000
30-03-2026,65.25000
27-03-2026,66.24000
25-03-2026,67.16000
24-03-2026,66.06000
23-03-2026,64.68000
20-03-2026,66.58000
19-03-2026,65.90000
18-03-2026,67.37000
17-03-2026,66.80000
16-03-2026,66.15000
13-03-2026,66.25000
12-03-2026,68.07000
11-03-2026,68.28000
10-03-2026,68.41000
09-03-2026,67.59000
06-03-2026,68.74000
05-03-2026,68.82000
04-03-2026,67.62000
02-03-2026,69.09000
27-02-2026,70.28000
26-02-2026,70.78000
25-02-2026,70.64000
24-02-2026,70.20000
23-02-2026,70.47000
20-02-2026,70.18000
19-02-2026,69.76000
18-02-2026,70.65000
17-02-2026,70.26000
16-02-2026,69.99000
13-02-2026,69.85000
12-02-2026,71.15000
11-02-2026,70.96000
10-02-2026,70.97000
09-02-2026,70.76000
06-02-2026,69.90000
05-02-2026,69.74000
04-02-2026,70.36000
03-02-2026,69.47000
02-02-2026,67.45000
30-01-2026,68.33000
29-01-2026,68.71000
28-01-2026,67.85000
27-01-2026,66.32000
23-01-2026,65.72000
22-01-2026,66.71000
21-01-2026,66.15000
20-01-2026,66.51000
19-01-2026,67.97000
16-01-2026,68.66000
14-01-2026,68.83000
13-01-2026,68.34000
12-01-2026,68.67000
09-01-2026,68.80000
08-01-2026,69.54000
07-01-2026,71.02000
06-01-2026,71.00000
05-01-2026,71.29000
02-01-2026,71.32000
01-01-2026,70.59000
31-12-2025,70.10000
30-12-2025,69.40000
29-12-2025,69.44000
26-12-2025,69.74000
24-12-2025,69.88000
23-12-2025,69.98000
22-12-2025,69.81000
19-12-2025,68.88000
18-12-2025,68.09000
17-12-2025,68.26000
16-12-2025,68.63000
15-12-2025,68.82000
12-12-2025,68.61000
11-12-2025,67.91000
10-12-2025,67.57000
09-12-2025,67.70000
08-12-2025,67.18000
05-12-2025,68.43000
04-12-2025,68.45000
03-12-2025,68.56000
02-12-2025,69.13000
01-12-2025,69.28000
28-11-2025,69.17000
27-11-2025,69.18000
26-11-2025,69.11000
25-11-2025,68.53000
24-11-2025,68.13000
21-11-2025,68.47000
20-11-2025,69.36000
19-11-2025,69.29000
18-11-2025,69.03000
17-11-2025,69.46000
14-11-2025,69.21000
13-11-2025,68.90000
12-11-2025,69.17000
11-11-2025,68.96000
10-11-2025,68.78000
07-11-2025,68.78000
06-11-2025,68.67000
04-11-2025,69.52000
03-11-2025,70.05000
31-10-2025,69.59000
30-10-2025,69.59000
29-10-2025,69.55000
28-10-2025,69.03000
27-10-2025,69.26000
24-10-2025,68.37000
23-10-2025,68.62000
20-10-2025,68.62000
17-10-2025,67.96000
16-10-2025,67.99000
15-10-2025,67.76000
14-10-2025,67.15000
13-10-2025,67.55000
10-10-2025,67.78000
09-10-2025,67.55000
08-10-2025,66.95000
07-10-2025,67.39000
06-10-2025,67.46000
03-10-2025,67.44000
01-10-2025,66.66000
30-09-2025,66.12000
26-09-2025,66.32000
25-09-2025,67.13000
24-09-2025,67.66000
23-09-2025,68.08000
22-09-2025,68.03000
19-09-2025,68.25000
18-09-2025,68.11000
17-09-2025,68.13000
16-09-2025,67.79000
15-09-2025,67.26000
12-09-2025,66.90000
11-09-2025,66.62000
10-09-2025,66.56000
09-09-2025,66.42000
08-09-2025,66.27000
05-09-2025,66.09000
04-09-2025,65.72000
03-09-2025,66.25000
02-09-2025,65.73000
01-09-2025,65.22000
29-08-2025,64.32000
28-08-2025,64.71000
26-08-2025,65.04000
25-08-2025,66.03000
22-08-2025,65.86000
21-08-2025,65.90000
20-08-2025,65.85000
19-08-2025,65.77000
18-08-2025,64.96000
14-08-2025,64.13000
13-08-2025,64.34000
12-08-2025,63.95000
11-08-2025,63.76000
08-08-2025,63.69000
07-08-2025,64.68000
06-08-2025,64.67000
05-08-2025,65.33000
04-08-2025,65.68000
01-08-2025,65.26000
31-07-2025,66.14000
30-07-2025,66.57000
29-07-2025,66.45000
28-07-2025,65.96000
25-07-2025,66.39000
24-07-2025,67.36000
23-07-2025,67.62000
22-07-2025,67.57000
21-07-2025,67.95000
18-07-2025,68.00000
17-07-2025,68.28000
16-07-2025,68.20000
15-07-2025,68.04000
14-07-2025,67.26000
11-07-2025,66.94000
10-07-2025,67.52000
09-07-2025,67.32000
08-07-2025,67.25000
07-07-2025,67.32000
04-07-2025,67.45000
03-07-2025,67.31000
02-07-2025,67.07000
01-07-2025,67.15000
30-06-2025,66.85000
27-06-2025,66.62000
26-06-2025,66.35000
25-06-2025,65.88000
24-06-2025,65.14000
23-06-2025,64.86000
20-06-2025,64.94000
19-06-2025,64.45000
18-06-2025,65.37000
17-06-2025,65.56000
16-06-2025,65.84000
13-06-2025,65.32000
12-06-2025,65.48000
11-06-2025,66.07000
10-06-2025,65.81000
09-06-2025,65.49000
06-06-2025,64.71000
05-06-2025,64.52000
04-06-2025,64.17000
03-06-2025,63.79000
02-06-2025,63.49000
30-05-2025,63.93000
29-05-2025,64.18000
28-05-2025,63.60000
27-05-2025,63.59000
26-05-2025,63.40000
23-05-2025,62.98000
22-05-2025,62.74000
21-05-2025,62.97000
20-05-2025,62.33000
19-05-2025,63.21000
16-05-2025,62.74000
15-05-2025,62.55000
14-05-2025,62.04000
13-05-2025,61.12000
12-05-2025,60.87000
09-05-2025,58.52000
08-05-2025,58.46000
07-05-2025,58.94000
06-05-2025,58.57000
05-05-2025,59.58000
02-05-2025,58.92000
30-04-2025,59.31000
29-04-2025,59.78000
28-04-2025,59.98000
25-04-2025,59.41000
24-04-2025,60.49000
23-04-2025,60.42000
22-04-2025,59.92000
21-04-2025,59.81000
17-04-2025,58.91000
16-04-2025,58.54000
15-04-2025,58.13000
11-04-2025,56.44000
09-04-2025,54.91000
08-04-2025,55.57000
07-04-2025,54.29000
04-04-2025,56.78000
03-04-2025,58.97000
02-04-2025,59.01000
01-04-2025,58.53000
31-03-2025,58.70000
28-03-2025,58.70000
27-03-2025,58.95000
26-03-2025,58.50000
25-03-2025,59.16000
24-03-2025,59.96000
21-03-2025,59.00000
20-03-2025,58.02000
19-03-2025,57.47000
18-03-2025,56.42000
17-03-2025,54.85000
13-03-2025,54.96000
12-03-2025,55.36000
11-03-2025,55.55000
10-03-2025,55.65000
07-03-2025,56.68000
06-03-2025,56.12000
05-03-2025,55.12000
04-03-2025,53.36000
03-03-2025,52.84000
28-02-2025,53.27000
27-02-2025,54.61000
25-02-2025,55.48000
24-02-2025,55.83000
21-02-2025,56.69000
20-02-2025,57.01000
19-02-2025,56.29000
18-02-2025,55.61000
17-02-2025,55.78000
14-02-2025,55.96000
13-02-2025,57.87000
12-02-2025,58.00000
11-02-2025,57.70000
10-02-2025,59.46000
07-02-2025,61.14000
06-02-2025,61.39000
05-02-2025,61.49000
04-02-2025,60.87000
03-02-2025,59.56000
31-01-2025,61.02000
30-01-2025,59.69000
29-01-2025,59.21000
28-01-2025,57.72000
27-01-2025,58.40000
24-01-2025,60.05000
23-01-2025,61.21000
22-01-2025,60.82000
21-01-2025,61.86000
20-01-2025,62.93000
17-01-2025,62.88000
16-01-2025,62.52000
15-01-2025,61.61000
14-01-2025,60.96000
13-01-2025,59.42000
10-01-2025,61.52000
09-01-2025,62.72000
08-01-2025,63.57000
07-01-2025,64.04000
06-01-2025,63.19000
03-01-2025,65.14000
02-01-2025,65.06000
01-01-2025,64.43000
31-12-2024,64.03000
30-12-2024,63.56000
27-12-2024,64.56000
26-12-2024,64.60000
24-12-2024,64.75000
23-12-2024,64.64000
20-12-2024,64.94000
19-12-2024,66.17000
18-12-2024,66.59000
17-12-2024,67.21000
16-12-2024,67.86000
13-12-2024,67.54000
12-12-2024,67.42000
11-12-2024,68.16000
10-12-2024,67.76000
09-12-2024,67.81000
06-12-2024,67.59000
05-12-2024,67.16000
04-12-2024,67.12000
03-12-2024,66.63000
02-12-2024,65.97000
29-11-2024,65.56000
28-11-2024,65.29000
27-11-2024,65.56000
26-11-2024,64.89000
25-11-2024,64.76000
22-11-2024,63.41000
21-11-2024,62.48000
19-11-2024,62.82000
18-11-2024,62.32000
14-11-2024,62.45000
13-11-2024,62.18000
12-11-2024,63.72000
11-11-2024,64.38000
08-11-2024,64.93000
07-11-2024,65.96000
06-11-2024,66.38000
05-11-2024,65.17000
04-11-2024,64.74000
31-10-2024,65.21000
30-10-2024,64.62000
29-10-2024,64.14000
28-10-2024,63.73000
25-10-2024,63.11000
24-10-2024,64.63000
23-10-2024,64.98000
22-10-2024,64.75000
21-10-2024,66.80000
18-10-2024,67.43000
17-10-2024,67.12000
16-10-2024,68.15000
15-10-2024,68.14000
14-10-2024,67.89000
11-10-2024,67.78000
10-10-2024,67.68000
09-10-2024,67.55000
08-10-2024,67.12000
07-10-2024,65.89000
04-10-2024,67.64000
03-10-2024,68.13000
01-10-2024,69.35000
30-09-2024,69.43000
27-09-2024,69.70000
26-09-2024,69.26000
25-09-2024,69.26000
24-09-2024,69.34000
23-09-2024,69.09000
20-09-2024,68.45000
19-09-2024,67.66000
18-09-2024,68.50000
17-09-2024,68.71000
16-09-2024,68.90000
13-09-2024,68.63000
12-09-2024,68.22000
